code,title,category,code_prefix,base_image,images_B,images_BR,images_W,images_N,images_C,short_description,full_description,additional_information,glass_type,glazing,tinting,width_mm,height_mm,base_price,metadata,related_codes,reviews_json
ASD898,"Aluminium Door Kick Plate and Obscure Glass (right opening)","Doors",ASD898,/images/ASD898/ASD898O.png,"/images/ASD898/ASD898O.png;/images/ASD898/ASD898C.png","/images/ASD898/ASD898O.png;/images/ASD898/ASD898C.png","/images/ASD898/ASD898O.png;/images/ASD898/ASD898C.png","/images/ASD898/ASD898O.png;/images/ASD898/ASD898C.png","/images/ASD898/ASD898O.png;/images/ASD898/ASD898C.png","Aluminium Door Kick Plate and Obscure Glass","Door with kick plate and obscure glass (right opening) — W900 x H2100.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm (or obscure where specified).","Clear - 4mm","Single Glazed","Standard Tint",900,2100,5400,{},, 
ASD899,"Aluminium Door 2 Panel Sliding","Doors",ASD899,/images/ASD899/ASD899O.png,"/images/ASD899/ASD899O.png;/images/ASD899/ASD899C.png","/images/ASD899/ASD899O.png;/images/ASD899/ASD899C.png","/images/ASD899/ASD899O.png;/images/ASD899/ASD899C.png","/images/ASD899/ASD899O.png;/images/ASD899/ASD899C.png","/images/ASD899/ASD899O.png;/images/ASD899/ASD899C.png","Aluminium Door 2 Panel Sliding","Aluminium 2 panel sliding door — W6000 x H2100.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm.","Clear - 4mm","Single Glazed","Standard Tint",6000,2100,12500,{},, 
ASD900,"Aluminium Sliding Door 2 Panel","Doors",ASD900,/images/ASD900/ASD900O.png,"/images/ASD900/ASD900O.png;/images/ASD900/ASD900C.png","/images/ASD900/ASD900O.png;/images/ASD900/ASD900C.png","/images/ASD900/ASD900O.png;/images/ASD900/ASD900C.png","/images/ASD900/ASD900O.png;/images/ASD900/ASD900C.png","/images/ASD900/ASD900O.png;/images/ASD900/ASD900C.png","Aluminium Sliding Door 2 Panel","Aluminium sliding door — 2 panels, W4500 x H2100.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm.","Clear - 4mm","Single Glazed","Standard Tint",4500,2100,11000,{},, 
ASD901,"2 Panel Aluminium Sliding Door","Doors",ASD901,/images/ASD901/ASD901O.png,"/images/ASD901/ASD901O.png;/images/ASD901/ASD901C.png","/images/ASD901/ASD901O.png;/images/ASD901/ASD901C.png","/images/ASD901/ASD901O.png;/images/ASD901/ASD901C.png","/images/ASD901/ASD901O.png;/images/ASD901/ASD901C.png","/images/ASD901/ASD901O.png;/images/ASD901/ASD901C.png","2 Panel Aluminium Sliding Door","2 panel aluminium sliding door — W4200 x H2100.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm.","Clear - 4mm","Single Glazed","Standard Tint",4200,2100,9500,{},, 
ASD902,"Aluminium 1 Panel Sliding Door","Doors",ASD902,/images/ASD902/ASD902O.png,"/images/ASD902/ASD902O.png;/images/ASD902/ASD902C.png","/images/ASD902/ASD902O.png;/images/ASD902/ASD902C.png","/images/ASD902/ASD902O.png;/images/ASD902/ASD902C.png","/images/ASD902/ASD902O.png;/images/ASD902/ASD902C.png","/images/ASD902/ASD902O.png;/images/ASD902/ASD902C.png","Aluminium 1 Panel Sliding Door","Aluminium 1 panel sliding door — W1800 x H2100.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm.","Clear - 4mm","Single Glazed","Standard Tint",1800,2100,3500,{},, 
ASD904,"Aluminium Diagonal Pivot Door (Reflective Glass) Left Hand Opening","Doors",ASD904,/images/ASD904/ASD904O.png,"/images/ASD904/ASD904O.png;/images/ASD904/ASD904C.png","/images/ASD904/ASD904O.png;/images/ASD904/ASD904C.png","/images/ASD904/ASD904O.png;/images/ASD904/ASD904C.png","/images/ASD904/ASD904O.png;/images/ASD904/ASD904C.png","/images/ASD904/ASD904O.png;/images/ASD904/ASD904C.png","Aluminium Diagonal Pivot Door Reflective Glass (Left)","Aluminium diagonal pivot door with reflective glass — W1200 x H2100.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm (reflective variant).","Clear - 4mm","Single Glazed","Standard Tint",1200,2100,9000,{},, 
ASD905,"Aluminium Diagonal Pivot Door Reflective Glass Left Hand Opening","Doors",ASD905,/images/ASD905/ASD905O.png,"/images/ASD905/ASD905O.png;/images/ASD905/ASD905C.png","/images/ASD905/ASD905O.png;/images/ASD905/ASD905C.png","/images/ASD905/ASD905O.png;/images/ASD905/ASD905C.png","/images/ASD905/ASD905O.png;/images/ASD905/ASD905C.png","/images/ASD905/ASD905O.png;/images/ASD905/ASD905C.png","Aluminium Diagonal Pivot Door Reflective Glass (Left)","Aluminium diagonal pivot door — reflective glass variant — W1200 x H2100.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm.","Clear - 4mm","Single Glazed","Standard Tint",1200,2100,5500,{},, 
ASD906,"Aluminium Horizontal Slates Door with Midrail","Doors",ASD906,/images/ASD906/ASD906O.png,"/images/ASD906/ASD906O.png;/images/ASD906/ASD906C.png","/images/ASD906/ASD906O.png;/images/ASD906/ASD906C.png","/images/ASD906/ASD906O.png;/images/ASD906/ASD906C.png","/images/ASD906/ASD906O.png;/images/ASD906/ASD906C.png","/images/ASD906/ASD906O.png;/images/ASD906/ASD906C.png","Aluminium Horizontal Slates Door with Midrail","Aluminium horizontal slates door with midrail — W900 x H2100.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm.","Clear - 4mm","Single Glazed","Standard Tint",900,2100,5300,{},, 
ASD907,"Staggered Glass Panel Door","Doors",ASD907,/images/ASD907/ASD907O.png,"/images/ASD907/ASD907O.png;/images/ASD907/ASD907C.png","/images/ASD907/ASD907O.png;/images/ASD907/ASD907C.png","/images/ASD907/ASD907O.png;/images/ASD907/ASD907C.png","/images/ASD907/ASD907O.png;/images/ASD907/ASD907C.png","/images/ASD907/ASD907O.png;/images/ASD907/ASD907C.png","Staggered Glass Panel Door","Staggered glass panel door — W900 x H2100.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm.","Clear - 4mm","Single Glazed","Standard Tint",900,2100,5200,{},, 
ASD908,"Staggered Glass Top Aluminium Panel Bottom Stable Door (Pre-hung)","Doors",ASD908,/images/ASD908/ASD908O.png,"/images/ASD908/ASD908O.png;/images/ASD908/ASD908C.png","/images/ASD908/ASD908O.png;/images/ASD908/ASD908C.png","/images/ASD908/ASD908O.png;/images/ASD908/ASD908C.png","/images/ASD908/ASD908O.png;/images/ASD908/ASD908C.png","/images/ASD908/ASD908O.png;/images/ASD908/ASD908C.png","Staggered Glass Top Aluminium Panel Bottom Stable Door (Pre-hung)","Pre-hung stable door — staggered glass top with aluminium panel bottom — W900 x H2100.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm.","Clear - 4mm","Single Glazed","Standard Tint",900,2100,5400,{},, 
ASD909,"Single Aluminium Hinged Door (Two Panel Glass with Midrail)","Doors",ASD909,/images/ASD909/ASD909O.png,"/images/ASD909/ASD909O.png;/images/ASD909/ASD909C.png","/images/ASD909/ASD909O.png;/images/ASD909/ASD909C.png","/images/ASD909/ASD909O.png;/images/ASD909/ASD909C.png","/images/ASD909/ASD909O.png;/images/ASD909/ASD909C.png","/images/ASD909/ASD909O.png;/images/ASD909/ASD909C.png","Single Aluminium Hinged Door (Two Panel Glass with Midrail)","Single aluminium hinged door with two glass panels and midrail — W900 x H2100.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm.","Clear - 4mm","Single Glazed","Standard Tint",900,2100,5000,{},, 
